Brand,Family,Name,Reference,Limited,Glass,Shape,Diameter,W/R,Color,image_file,image_file_processed
TAG Heuer,Formula 1,Formula 1 Quartz Alarm 41 Stainless Steel / Black / Bracelet,WAC111A.BA0850,No,Sapphire,Round,41.00 mm,200.00 m,Black,WAC111A.BA0850.jpg,processed_WAC111A.BA0850.jpg
TAG Heuer,Carrera,Carrera Calibre 5 39 Stainless Steel / Black / Calf,WV211B.FC6202,No,Sapphire,Round,39.00 mm,50.00 m,Black,WV211B.FC6202.jpg,processed_WV211B.FC6202.jpg
TAG Heuer,Carrera,Carrera Calibre 5 39 Stainless Steel / Black / Calf,WV211B.FC6203,No,Sapphire,Round,39.00 mm,50.00 m,Black,WV211B.FC6203.jpg,processed_WV211B.FC6203.jpg
TAG Heuer,Monaco,Monaco 24 McQueen,CAL5111.FC6299,No,Sapphire,Square,40.50 mm,100.00 m,Blue,CAL5111.FC6299.jpg,processed_CAL5111.FC6299.jpg
TAG Heuer,Monaco,Monaco Calibre 6 Automatic,WW2111.FC6204,No,Sapphire,Square,38.00 mm,50.00 m,Blue,WW2111.FC6204.jpg,processed_WW2111.FC6204.jpg
TAG Heuer,Aquaracer,Aquaracer 300M Calibre 16 43 Stainless Steel / Silver / Bracelet,CAY2111.BA0927,No,Sapphire,Round,43.00 mm,300.00 m,Silver,CAY2111.BA0927.jpg,processed_CAY2111.BA0927.jpg
Cartier,Ballon Blue de Cartier,Ballon Blue de Cartier 42 Automatic Yellow Gold / Silver,W6900551,No,Sapphire,Round,42.10 mm,30.00 m,Silver,W6900551.jpg,processed_W6900551.jpg
Cartier,Clé de Cartier,Clé de Cartier 35 Pink Gold / Diamond / Bracelet,WJCL0033,No,Sapphire,Cushion,35.00 mm,30.00 m,Silver,WJCL0033.jpg,processed_WJCL0033.jpg
Cartier,Clé de Cartier,Clé de Cartier 41 Mysterious Hours Palladium / Diamond,HPI00946,No,Sapphire,Cushion,41.00 mm,30.00 m,Paved,HPI00946.jpg,processed_HPI00946.jpg
Cartier,Clé de Cartier,Clé de Cartier 40 Pink Gold / Silver,WGCL0019,No,Sapphire,Cushion,40.00 mm,30.00 m,Silver,WGCL0019.jpg,processed_WGCL0019.jpg
